"","activity_start_date","characteristic_name","result_sample_fraction","n"
"1",2023-05-02,"Arsenic","Filtered, lab",15
"2",2023-05-02,"Cadmium","Filtered, lab",15
"3",2023-05-02,"Calcium","Unfiltered",19
"4",2023-05-02,"Chromium","Filtered, lab",15
"5",2023-05-02,"Copper","Filtered, lab",15
"6",2023-05-02,"Copper","Unfiltered",13
"7",2023-05-02,"Fecal Coliform","",22
"8",2023-05-02,"Iron","Unfiltered",19
"9",2023-05-02,"Lead","Filtered, lab",15
"10",2023-05-02,"Magnesium","Unfiltered",19
"11",2023-05-02,"Total Nitrate/Nitrite-N","Total",23
"12",2023-05-02,"Total Phosphorus","Total",23
"13",2023-05-02,"Total suspended solids","",23
"14",2023-05-02,"Zinc","Filtered, lab",15
"15",2023-05-02,"Zinc","Unfiltered",13
"16",2023-07-18,"Arsenic","Filtered, lab",15
"17",2023-07-18,"Benzene","Volatile",4
"18",2023-07-18,"Cadmium","Filtered, lab",15
"19",2023-07-18,"Calcium","Unfiltered",24
"20",2023-07-18,"Chromium","Filtered, lab",15
"21",2023-07-18,"Copper","Filtered, lab",15
"22",2023-07-18,"Copper","Unfiltered",14
"23",2023-07-18,"Ethylbenzene","Volatile",4
"24",2023-07-18,"Fecal Coliform","",24
"25",2023-07-18,"Iron","Unfiltered",24
"26",2023-07-18,"Lead","Filtered, lab",15
"27",2023-07-18,"Magnesium","Unfiltered",24
"28",2023-07-18,"P & M -Xylene","Volatile",4
"29",2023-07-18,"Toluene","Volatile",4
"30",2023-07-18,"Total Nitrate/Nitrite-N","Total",24
"31",2023-07-18,"Total Phosphorus","Total",24
"32",2023-07-18,"Total suspended solids","",24
"33",2023-07-18,"Xylenes (total)","Volatile",4
"34",2023-07-18,"Zinc","Filtered, lab",15
"35",2023-07-18,"Zinc","Unfiltered",14
"36",2023-07-18,"o-Xylene","Volatile",4
